typeNo,typeId,typeName,baseCode,mainRouteId,mainRoute,subRouteId,subRoute,questionId,axis,targetSide,targetOptionText,weight,weightFormulaVersion,sourceRule,semanticAuditStatus,semanticAuditReason,lockStatus
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q04,divergent_convergent,A,目的や前提から見直し、別の考え方も探す,1.0625,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q11,solo_team,B,途中の案を見せ、相手の反応や追加情報をもらいながら固める,1.25,type-question-frequency-v1,type,changed,顧客の反応を途中案へ取り込み、体験の流れを作り直すためBを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q12,divergent_convergent,A,関係が薄そうな情報も集め、意外なつながりを探す,1.0,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q15,solo_team,A,早めに情報を集め、それぞれの心配や譲れない条件を確認して、合意できる点を探す,1.375,type-question-frequency-v1,type,changed,複数の接点・関係者が持つ懸念と条件を集めて体験を整えるためAを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q18,offensive_stable,A,効果と負担を説明し、心配な点を確認したうえで、早めに判断してもらう,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q20,divergent_convergent,A,実現できるかはいったん置き、方向の違う案をたくさん出す,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q24,divergent_convergent,B,案を組み合わせ、さらに新しい可能性を増やす,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q35,solo_team,B,その場で話を続け、迷っている理由や決める条件を確かめる,1.375,type-question-frequency-v1,type,changed,相手が止まる理由と次の行動条件を会話から確かめるためBを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q36,divergent_convergent,A,一つの用途だけにせず、別の使い方にも広げられる形にする,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,q40,divergent_convergent,B,早く絞りすぎて、もっと良い可能性を逃すこと,1.125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q02,offensive_stable,A,達成できない可能性があっても、期待以上の成果を狙う,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q10,offensive_stable,A,小さな失敗は受け入れ、早めに試す,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q11,solo_team,A,相手が重視することと未決定の点を整理し、選びやすい形で示す,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q14,offensive_stable,B,一時的な混乱は受け入れ、早めに新しい案へ切り替える,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q18,offensive_stable,A,効果と負担を説明し、心配な点を確認したうえで、早めに判断してもらう,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q26,offensive_stable,A,少し負担が増えても、目立つ価値を一つ加える,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q34,offensive_stable,A,慎重になりすぎて、大きなチャンスを逃すこと,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q35,solo_team,B,その場で話を続け、迷っている理由や決める条件を確かめる,1.375,type-question-frequency-v1,type,changed,価値の約束を相手の迷い・決定条件から組み直すためBを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,q38,offensive_stable,B,不確かな状況でも挑戦し、期待以上の成果を出せた時,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q01,thinking_action,A,目的や条件を整理し、進め方を考えてから動く,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q02,offensive_stable,A,達成できない可能性があっても、期待以上の成果を狙う,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q06,offensive_stable,B,余った時間や人手を使い、成果をさらに伸ばす,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q11,solo_team,A,相手が重視することと未決定の点を整理し、選びやすい形で示す,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q12,divergent_convergent,A,関係が薄そうな情報も集め、意外なつながりを探す,1.0,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q16,divergent_convergent,B,周りの情報まで広げ、新しい論点がないか探す,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q19,solo_team,A,まず自分で仮説を立て、解決までの道筋を考える,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q26,offensive_stable,A,少し負担が増えても、目立つ価値を一つ加える,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q30,offensive_stable,B,一部に差が出ても、最も伸びそうな仕事へ力を集める,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q33,thinking_action,A,先に構成と順番を決め、全体の流れを固める,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,q34,offensive_stable,A,慎重になりすぎて、大きなチャンスを逃すこと,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q02,offensive_stable,A,達成できない可能性があっても、期待以上の成果を狙う,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q04,divergent_convergent,A,目的や前提から見直し、別の考え方も探す,1.0625,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q06,offensive_stable,B,余った時間や人手を使い、成果をさらに伸ばす,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q12,divergent_convergent,A,関係が薄そうな情報も集め、意外なつながりを探す,1.0,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q14,offensive_stable,B,一時的な混乱は受け入れ、早めに新しい案へ切り替える,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q20,divergent_convergent,A,実現できるかはいったん置き、方向の違う案をたくさん出す,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q24,divergent_convergent,B,案を組み合わせ、さらに新しい可能性を増やす,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q28,divergent_convergent,A,複数の案を残し、比べるための材料を増やす,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q30,offensive_stable,B,一部に差が出ても、最も伸びそうな仕事へ力を集める,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q36,divergent_convergent,A,一つの用途だけにせず、別の使い方にも広げられる形にする,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,q40,divergent_convergent,B,早く絞りすぎて、もっと良い可能性を逃すこと,1.125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q03,solo_team,A,自分の担当とゴールを明確にし、最後まで責任を持つ,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q11,solo_team,A,相手が重視することと未決定の点を整理し、選びやすい形で示す,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q15,solo_team,A,早めに情報を集め、それぞれの心配や譲れない条件を確認して、合意できる点を探す,1.375,type-question-frequency-v1,type,changed,価値連鎖に関わる複数者の条件を集め、全体の成立点を探すためAを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q18,offensive_stable,B,無理なく続けられる手順と確認方法を整えてから導入する,1.25,type-question-frequency-v1,type,changed,役割と価値の流れを継続運用できる手順へ移すためBを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q19,solo_team,B,早めに詳しい人へ相談し、知識を持ち寄って解決する,1.3125,type-question-frequency-v1,type,changed,売る・作る・届ける・支える各領域の知識を持ち寄るためBを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q22,offensive_stable,A,使う範囲と確認するタイミングを決め、今の仕事に影響が出にくいところから移す,1.3125,type-question-frequency-v1,type,changed,既存業務を止めず、範囲と確認時期を決めて新しい流れへ移すためAを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q23,solo_team,A,役割を組み直し、他の人の得意なことを生かして進める,1.375,type-question-frequency-v1,type,changed,人の得意分野と役割を組み直して価値の流れをつなぐためAを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q27,solo_team,B,みんなの強みがうまく合わさり、一人では出せない成果になった時,1.4375,type-question-frequency-v1,type,changed,複数者の強みがつながった成果を完了と見るためBを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q31,solo_team,A,チーム全体の成果に貢献したことを評価される,1.4375,type-question-frequency-v1,type,changed,個別担当より価値連鎖全体への貢献を重く見るためAを採用,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,q39,solo_team,B,担当と確認するタイミングを決め、そこまでは各自に任せる,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q02,offensive_stable,A,達成できない可能性があっても、期待以上の成果を狙う,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q04,divergent_convergent,A,目的や前提から見直し、別の考え方も探す,1.0625,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q10,offensive_stable,A,小さな失敗は受け入れ、早めに試す,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q12,divergent_convergent,A,関係が薄そうな情報も集め、意外なつながりを探す,1.0,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q14,offensive_stable,B,一時的な混乱は受け入れ、早めに新しい案へ切り替える,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q20,divergent_convergent,A,実現できるかはいったん置き、方向の違う案をたくさん出す,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q24,divergent_convergent,B,案を組み合わせ、さらに新しい可能性を増やす,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q28,divergent_convergent,A,複数の案を残し、比べるための材料を増やす,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q34,offensive_stable,A,慎重になりすぎて、大きなチャンスを逃すこと,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q38,offensive_stable,B,不確かな状況でも挑戦し、期待以上の成果を出せた時,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,q40,divergent_convergent,B,早く絞りすぎて、もっと良い可能性を逃すこと,1.125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q01,thinking_action,A,目的や条件を整理し、進め方を考えてから動く,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q02,offensive_stable,A,達成できない可能性があっても、期待以上の成果を狙う,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q04,divergent_convergent,A,目的や前提から見直し、別の考え方も探す,1.0625,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q08,divergent_convergent,B,見落としがないよう、周りの原因まで広く考える,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q10,offensive_stable,A,小さな失敗は受け入れ、早めに試す,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q12,divergent_convergent,A,関係が薄そうな情報も集め、意外なつながりを探す,1.0,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q16,divergent_convergent,B,周りの情報まで広げ、新しい論点がないか探す,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q17,thinking_action,A,追加情報を集め、根拠を増やしてから決める,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q28,divergent_convergent,A,複数の案を残し、比べるための材料を増やす,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q33,thinking_action,A,先に構成と順番を決め、全体の流れを固める,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q34,offensive_stable,A,慎重になりすぎて、大きなチャンスを逃すこと,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,q40,divergent_convergent,B,早く絞りすぎて、もっと良い可能性を逃すこと,1.125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m04,成長基盤拡張,vision-architect.m04.s01,横展開設計,q04,divergent_convergent,A,目的や前提から見直し、別の考え方も探す,1.0625,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m04,成長基盤拡張,vision-architect.m04.s01,横展開設計,q06,offensive_stable,B,余った時間や人手を使い、成果をさらに伸ばす,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m04,成長基盤拡張,vision-architect.m04.s01,横展開設計,q12,divergent_convergent,A,関係が薄そうな情報も集め、意外なつながりを探す,1.0,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m04,成長基盤拡張,vision-architect.m04.s01,横展開設計,q14,offensive_stable,B,一時的な混乱は受け入れ、早めに新しい案へ切り替える,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m04,成長基盤拡張,vision-architect.m04.s01,横展開設計,q20,divergent_convergent,A,実現できるかはいったん置き、方向の違う案をたくさん出す,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
