typeNo,typeId,typeName,englishName,baseCode,mainRouteId,mainRoute,subRouteId,subRoute,evidenceQuestionIds,topAbility1,topAbility2,relativeLagAbility,topAxis1,topAxis2,centralAxis,logic,execution,sales,creativity,management,thinking,action,offensive,stable,individual,group,divergent,convergent,bestPartner,evidenceCount,evidenceWeightFormula,scoreRatio,lockStatus
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m01,判断条件特定,win-hunter.m01.s01,顧客判断照準,"q02,q08,q11,q12,q16,q17,q24,q28,q32,q35,q40",論理力,営業力,創造力,収束,思考,個人突破,91,70,88,66,74,78,22,76,24,72,28,18,82,営業モンスター,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m01,判断条件特定,win-hunter.m01.s02,合意条件設計,"q01,q03,q05,q08,q11,q15,q18,q21,q24,q33,q35,q39",論理力,営業力,実行力,思考,収束,個人突破,93,65,84,68,82,84,16,72,28,64,36,21,79,ギルド調律師,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m02,成果集中,win-hunter.m02.s01,指標集中,"q01,q02,q04,q08,q12,q16,q17,q21,q24,q30,q32,q33,q40",論理力,管理力,創造力,収束,思考,個人突破,95,78,68,62,80,86,14,83,17,75,25,12,88,事業構想家,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m02,成果集中,win-hunter.m02.s02,資源集中,"q02,q03,q06,q08,q10,q14,q18,q19,q26,q27,q30,q31,q34,q38",論理力,管理力,創造力,攻め,収束,個人突破,90,82,72,66,87,81,19,88,12,79,21,16,84,前線指揮官,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m02,成果集中,win-hunter.m02.s03,撤退再配分,"q02,q06,q08,q14,q16,q17,q19,q24,q28,q30,q32,q34,q38,q40",論理力,管理力,創造力,収束,思考,攻め,96,72,65,60,84,89,11,78,22,82,18,8,92,最後の砦,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m03,競争優位確立,win-hunter.m03.s01,差別化一点,"q02,q04,q08,q10,q11,q12,q14,q20,q24,q26,q28,q32,q34,q36,q40",論理力,創造力,管理力,攻め,収束,個人突破,89,69,82,84,65,80,20,86,14,77,23,14,86,突撃クリエイター,15,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m03,競争優位確立,win-hunter.m03.s02,機会先行,"q02,q05,q08,q10,q14,q17,q21,q26,q28,q30,q32,q34,q37,q38,q40",論理力,実行力,管理力,攻め,個人突破,思考,87,83,78,79,61,74,26,94,6,80,20,24,76,完遂クローザー,15,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m03,競争優位確立,win-hunter.m03.s03,交渉優位,"q02,q08,q10,q11,q15,q17,q18,q21,q24,q26,q28,q32,q34,q35,q38",営業力,論理力,創造力,攻め,収束,思考,92,76,94,64,70,82,18,90,10,84,16,11,89,ギルド調律師,15,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m04,制約突破,win-hunter.m04.s01,ボトルネック突破,"q01,q04,q08,q12,q16,q19,q21,q24,q25,q29,q32,q33,q37,q40",論理力,実行力,営業力,収束,思考,攻め,97,81,62,68,75,88,12,80,20,85,15,7,93,前線指揮官,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
2,win-hunter,勝ち筋ハンター,Winning Strategist,TOIF,win-hunter.m04,制約突破,win-hunter.m04.s02,失敗条件封じ,"q01,q04,q08,q10,q12,q16,q17,q19,q21,q24,q25,q26,q29,q32,q34,q37,q40",論理力,管理力,営業力,収束,思考,攻め,98,68,60,63,86,92,8,73,27,80,20,5,95,巻き込みプロデューサー,17,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m01,知識再編,strategy-commander.m01.s01,専門知統合,"q01,q04,q08,q12,q15,q19,q20,q24,q27,q28,q32,q36,q40",論理力,創造力,実行力,思考,組織推進,攻め,92,68,79,88,73,84,16,76,24,18,82,80,20,構造ハッカー,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m01,知識再編,strategy-commander.m01.s02,現場情報統合,"q01,q04,q07,q11,q12,q15,q17,q19,q20,q23,q24,q27,q35,q39",創造力,論理力,管理力,組織推進,発散,攻め,87,74,84,90,70,78,22,74,26,14,86,83,17,勝ち筋ハンター,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m01,知識再編,strategy-commander.m01.s03,反対論点統合,"q01,q04,q08,q12,q15,q16,q17,q19,q20,q24,q28,q32,q33,q40",論理力,創造力,実行力,思考,発散,攻め,94,64,82,89,76,88,12,71,29,20,80,86,14,完遂クローザー,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m02,戦力構成,strategy-commander.m02.s01,強み配置,"q03,q07,q15,q19,q23,q27,q30,q31,q39",管理力,論理力,実行力,組織推進,思考,発散,88,75,77,82,91,82,18,79,21,11,89,75,25,ギルド調律師,9,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m02,戦力構成,strategy-commander.m02.s02,部門接続,"q03,q07,q11,q15,q18,q19,q22,q23,q27,q31,q39",論理力,管理力,実行力,組織推進,発散,攻め,89,70,86,85,88,80,20,77,23,8,92,84,16,構造ハッカー,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m02,戦力構成,strategy-commander.m02.s03,判断権設計,"q01,q03,q05,q15,q17,q18,q21,q22,q23,q33,q37,q39",論理力,管理力,実行力,思考,組織推進,発散,95,66,76,74,93,90,10,73,27,16,84,72,28,前線指揮官,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m03,戦略展開,strategy-commander.m03.s01,組合せ創出,"q02,q04,q06,q10,q12,q14,q20,q24,q26,q28,q36,q38,q40",創造力,論理力,管理力,発散,攻め,組織推進,86,73,80,96,69,81,19,86,14,22,78,93,7,孤高のクラフター,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m03,戦略展開,strategy-commander.m03.s02,複線設計,"q01,q02,q04,q08,q10,q12,q16,q17,q20,q24,q28,q32,q34,q36,q40",創造力,論理力,実行力,発散,思考,攻め,92,69,74,93,82,87,13,82,18,17,83,90,10,勝ち筋ハンター,15,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m04,連携資産化,strategy-commander.m04.s01,協力網形成,"q03,q07,q11,q15,q18,q19,q23,q27,q31,q35,q39",営業力,創造力,実行力,組織推進,発散,思考,82,78,92,89,80,76,24,85,15,5,95,88,12,巻き込みプロデューサー,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
3,strategy-commander,企画軍師,Strategy Mastermind,TOGE,strategy-commander.m04,連携資産化,strategy-commander.m04.s02,共同資産化,"q01,q03,q04,q07,q09,q15,q18,q22,q23,q27,q31,q33,q36,q39",管理力,論理力,実行力,組織推進,思考,攻め,91,67,83,84,94,89,11,75,25,10,90,79,21,構造ハッカー,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m01,制約診断,siege-advisor.m01.s01,根本制約特定,"q01,q04,q08,q12,q16,q19,q24,q25,q29,q32,q33,q37,q40",論理力,管理力,営業力,収束,思考,組織推進,94,69,65,74,87,88,12,78,22,28,72,9,91,前線指揮官,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m01,制約診断,siege-advisor.m01.s02,判断停滞解除,"q01,q05,q11,q15,q17,q18,q21,q22,q23,q32,q35,q37,q39",論理力,管理力,創造力,組織推進,思考,攻め,89,71,86,67,88,84,16,76,24,14,86,18,82,ギルド調律師,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m01,制約診断,siege-advisor.m01.s03,資源詰まり解消,"q02,q03,q06,q07,q15,q18,q23,q26,q27,q30,q31,q34,q38,q39",管理力,論理力,営業力,攻め,収束,思考,86,80,69,70,93,79,21,88,12,19,81,15,85,城塞の守護者,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m02,攻略工程,siege-advisor.m02.s01,依存関係整理,"q01,q03,q05,q08,q16,q17,q21,q22,q24,q25,q32,q33,q37,q39",論理力,管理力,営業力,思考,収束,攻め,95,68,66,72,91,92,8,73,27,23,77,10,90,前線指揮官,14,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m02,攻略工程,siege-advisor.m02.s02,期限逆算,"q01,q03,q05,q17,q21,q22,q26,q30,q32,q33,q34,q37,q39",管理力,論理力,営業力,収束,思考,組織推進,90,78,64,68,94,86,14,80,20,25,75,8,92,完遂クローザー,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m02,攻略工程,siege-advisor.m02.s03,失敗条件封鎖,"q02,q04,q08,q10,q16,q17,q18,q21,q25,q26,q29,q32,q34,q38,q40",論理力,管理力,営業力,思考,収束,組織推進,96,70,62,76,89,90,10,84,16,28,72,12,88,突撃クリエイター,15,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m03,戦力統率,siege-advisor.m03.s01,強み集中配置,"q02,q03,q07,q15,q18,q23,q27,q30,q31,q34,q38,q39",管理力,論理力,創造力,組織推進,攻め,思考,82,79,78,65,95,75,25,89,11,9,91,18,82,巻き込みプロデューサー,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m03,戦力統率,siege-advisor.m03.s02,部門横断統率,"q02,q07,q11,q15,q18,q22,q23,q27,q30,q31,q35,q38,q39",営業力,管理力,創造力,組織推進,攻め,収束,84,75,91,68,90,82,18,86,14,6,94,21,79,ギルド調律師,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m04,再建突破,siege-advisor.m04.s01,緊急封鎖,"q05,q07,q10,q18,q21,q22,q23,q25,q29,q30,q37,q39",実行力,管理力,営業力,収束,攻め,思考,82,94,61,70,88,66,34,83,17,20,80,13,87,最後の砦,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
4,siege-advisor,攻城参謀,Breakthrough Tactician,TOGF,siege-advisor.m04,再建突破,siege-advisor.m04.s02,再始動設計,"q01,q04,q07,q08,q15,q18,q21,q23,q25,q29,q32,q33,q37,q39,q40",管理力,論理力,創造力,収束,思考,攻め,92,84,74,72,94,88,12,82,18,15,85,10,90,巻き込みプロデューサー,15,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m01,問い再設計,solo-inventor.m01.s01,前提反転,"q01,q04,q12,q17,q20,q28,q32,q40",創造力,論理力,営業力,発散,思考,安定,91,65,58,96,72,86,14,33,67,74,26,91,9,完遂クローザー,8,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m01,問い再設計,solo-inventor.m01.s02,原因再設計,"q01,q08,q16,q19,q25,q29,q37,q40",論理力,創造力,営業力,思考,個人突破,発散,97,63,57,87,82,92,8,22,78,81,19,70,30,前線指揮官,8,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m01,問い再設計,solo-inventor.m01.s03,制約活用,"q03,q04,q06,q10,q14,q18,q26,q34,q36,q38",創造力,論理力,営業力,安定,思考,個人突破,90,66,61,93,88,81,19,11,89,76,24,79,21,巻き込みプロデューサー,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m02,要素再結合,solo-inventor.m02.s01,異分野接続,"q04,q12,q16,q20,q24,q28,q32,q36,q40",創造力,論理力,実行力,発散,思考,安定,85,64,68,98,70,83,17,37,63,72,28,96,4,勝ち筋ハンター,9,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m02,要素再結合,solo-inventor.m02.s02,機能再構成,"q01,q04,q08,q19,q24,q33,q36,q39",創造力,論理力,営業力,思考,発散,安定,94,70,60,95,79,88,12,24,76,84,16,85,15,構造ハッカー,8,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m02,要素再結合,solo-inventor.m02.s03,多用途展開,"q04,q12,q14,q20,q24,q28,q32,q36,q40",創造力,論理力,実行力,発散,思考,個人突破,86,64,67,97,81,79,21,26,74,71,29,94,6,事業構想家,9,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m03,安全探索,solo-inventor.m03.s01,小域実験,"q06,q10,q14,q18,q20,q22,q26,q34,q36,q38",管理力,論理力,営業力,安定,発散,個人突破,90,78,59,89,94,76,24,7,93,73,27,82,18,突撃クリエイター,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m03,安全探索,solo-inventor.m03.s02,比較検証,"q01,q08,q12,q17,q20,q24,q28,q32,q33,q40",論理力,創造力,営業力,思考,安定,個人突破,98,65,58,92,86,94,6,16,84,77,23,83,17,営業モンスター,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m04,独自資産化,solo-inventor.m04.s01,専用道具,"q03,q07,q09,q19,q23,q27,q31,q36,q39",創造力,論理力,営業力,個人突破,思考,発散,89,86,56,91,84,82,18,20,80,95,5,74,26,構造ハッカー,9,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
5,solo-inventor,独創の発明家,Original Inventor,TSIE,solo-inventor.m04,独自資産化,solo-inventor.m04.s02,原理資産,"q03,q04,q09,q12,q16,q19,q23,q33,q36,q39",論理力,創造力,営業力,個人突破,思考,発散,96,68,55,94,92,91,9,12,88,92,8,86,14,城塞の守護者,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m01,焦点特定,precision-sniper.m01.s01,異常抽出,"q01,q08,q12,q16,q17,q24,q32,q33,q40",論理力,管理力,営業力,収束,思考,安定,96,70,62,72,84,90,10,28,72,82,18,6,94,前線指揮官,9,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m01,焦点特定,precision-sniper.m01.s02,矛盾解消,"q03,q05,q08,q11,q15,q16,q18,q24,q33,q35,q39",論理力,管理力,実行力,収束,思考,個人突破,93,64,80,68,86,86,14,20,80,61,39,12,88,勝ち筋ハンター,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m01,焦点特定,precision-sniper.m01.s03,条件分離,"q01,q04,q08,q12,q16,q17,q19,q25,q28,q36,q40",論理力,創造力,営業力,思考,個人突破,安定,95,71,60,83,76,92,8,33,67,84,16,21,79,独創の発明家,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m02,原因検証,precision-sniper.m02.s01,仮説反証,"q01,q08,q12,q16,q17,q19,q24,q25,q28,q32,q40",論理力,創造力,営業力,思考,収束,安定,98,66,57,82,74,96,4,30,70,89,11,9,91,突撃クリエイター,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m02,原因検証,precision-sniper.m02.s02,影響切り分け,"q01,q03,q07,q08,q16,q19,q25,q29,q37,q39",論理力,管理力,営業力,収束,思考,個人突破,94,80,61,65,88,83,17,24,76,68,32,7,93,前線指揮官,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m02,原因検証,precision-sniper.m02.s03,再現確認,"q01,q03,q05,q08,q09,q13,q16,q21,q25,q29,q33,q37,q39",論理力,管理力,営業力,安定,収束,個人突破,92,85,58,63,87,80,20,11,89,77,23,15,85,完遂クローザー,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m03,判断精密化,precision-sniper.m03.s01,比較基準,"q01,q04,q08,q11,q12,q16,q17,q20,q24,q28,q32,q35,q40",論理力,管理力,実行力,収束,思考,個人突破,94,62,79,69,83,88,12,22,78,58,42,8,92,勝ち筋ハンター,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
6,precision-sniper,精密スナイパー,Insight Sniper,TSIF,precision-sniper.m03,判断精密化,precision-sniper.m03.s02,証拠閾値,"q01,q05,q08,q16,q17,q21,q24,q25,q28,q32,q34,q37,q40",論理力,管理力,創造力,思考,収束,個人突破,97,68,66,60,90,94,6,13,87,65,35,10,90,勝ち筋ハンター,13,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
